Asthma and the Environment,neighborhood,% reported
Asthma and the Environment,Kingsbridge - Riverdale,5.1
Asthma and the Environment,Northeast Bronx,5.9
Asthma and the Environment,Fordham - Bronx Pk,4.8
Asthma and the Environment,Pelham - Throgs Neck,6.1
Asthma and the Environment,Crotona -Tremont,8.8
Asthma and the Environment,High Bridge - Morrisania,8.8
Asthma and the Environment,Hunts Point - Mott Haven,8.8
Asthma and the Environment,Greenpoint,3.1
Asthma and the Environment,Downtown - Heights - Slope,6.5
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,5.9
Asthma and the Environment,East New York,5.7
Asthma and the Environment,Sunset Park,5.9
Asthma and the Environment,Borough Park,3.9
Asthma and the Environment,East Flatbush - Flatbush,2
Asthma and the Environment,Canarsie - Flatlands,3.8
Asthma and the Environment,Bensonhurst - Bay Ridge,2
Asthma and the Environment,Coney Island - Sheepshead Bay,2.7
Asthma and the Environment,Williamsburg - Bushwick,9.5
Asthma and the Environment,Washington Heights,3.4
Asthma and the Environment,Central Harlem - Morningside Heights,8.9
Asthma and the Environment,East Harlem,7.9
Asthma and the Environment,Upper West Side,3.8
Asthma and the Environment,Upper East Side,4.5
Asthma and the Environment,Chelsea - Clinton,5
Asthma and the Environment,Gramercy Park - Murray Hill,4.5
Asthma and the Environment,Greenwich Village - SoHo,5
Asthma and the Environment,Union Square - Lower East Side,4.5
Asthma and the Environment,Lower Manhattan,4.5
Asthma and the Environment,Long Island City - Astoria,3.4
Asthma and the Environment,West Queens,5.2
Asthma and the Environment,Flushing - Clearview,2.4
Asthma and the Environment,Bayside - Little Neck,3.9
Asthma and the Environment,Ridgewood - Forest Hills,3.2
Asthma and the Environment,Fresh Meadows,3.9
Asthma and the Environment,Southwest Queens,3.2
Asthma and the Environment,Jamaica,4.8
Asthma and the Environment,Southeast Queens,2.2
Asthma and the Environment,Rockaways,5.8
Asthma and the Environment,Port Richmond,6.6
Asthma and the Environment,Stapleton - St. George,6.6
Asthma and the Environment,Willowbrook,2.3
Asthma and the Environment,South Beach - Tottenville,2.3
Asthma and the Environment,Kingsbridge - Riverdale,6.8
Asthma and the Environment,Northeast Bronx,4.1
Asthma and the Environment,Fordham - Bronx Pk,7.5
Asthma and the Environment,Pelham - Throgs Neck,6.9
Asthma and the Environment,Crotona -Tremont,10.2
Asthma and the Environment,High Bridge - Morrisania,10.2
Asthma and the Environment,Hunts Point - Mott Haven,10.2
Asthma and the Environment,Greenpoint,3.5
Asthma and the Environment,Downtown - Heights - Slope,8.8
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,4.6
Asthma and the Environment,East New York,7.4
Asthma and the Environment,Sunset Park,3.2
Asthma and the Environment,Borough Park,3.2
Asthma and the Environment,East Flatbush - Flatbush,7.4
Asthma and the Environment,Canarsie - Flatlands,3.9
Asthma and the Environment,Bensonhurst - Bay Ridge,3.8
Asthma and the Environment,Coney Island - Sheepshead Bay,4.5
Asthma and the Environment,Williamsburg - Bushwick,10.3
Asthma and the Environment,Washington Heights,5.5
Asthma and the Environment,Central Harlem - Morningside Heights,3.9
Asthma and the Environment,East Harlem,8.6
Asthma and the Environment,Upper West Side,4.1
Asthma and the Environment,Upper East Side,2.9
Asthma and the Environment,Chelsea - Clinton,2.7
Asthma and the Environment,Gramercy Park - Murray Hill,2.9
Asthma and the Environment,Greenwich Village - SoHo,2.7
Asthma and the Environment,Union Square - Lower East Side,5.1
Asthma and the Environment,Lower Manhattan,5.1
Asthma and the Environment,Long Island City - Astoria,4
Asthma and the Environment,West Queens,2
Asthma and the Environment,Flushing - Clearview,4.2
Asthma and the Environment,Bayside - Little Neck,4.5
Asthma and the Environment,Ridgewood - Forest Hills,2.5
Asthma and the Environment,Fresh Meadows,4.5
Asthma and the Environment,Southwest Queens,3.9
Asthma and the Environment,Jamaica,3.7
Asthma and the Environment,Southeast Queens,2.9
Asthma and the Environment,Rockaways,4.6
Asthma and the Environment,Port Richmond,4.1
Asthma and the Environment,Stapleton - St. George,4.1
Asthma and the Environment,Willowbrook,5.9
Asthma and the Environment,South Beach - Tottenville,5.9
Asthma and the Environment,Kingsbridge - Riverdale,4.4
Asthma and the Environment,Northeast Bronx,3.2
Asthma and the Environment,Fordham - Bronx Pk,7.4
Asthma and the Environment,Pelham - Throgs Neck,9
Asthma and the Environment,Crotona -Tremont,8.8
Asthma and the Environment,High Bridge - Morrisania,8.8
Asthma and the Environment,Hunts Point - Mott Haven,8.8
Asthma and the Environment,Greenpoint,8
Asthma and the Environment,Downtown - Heights - Slope,6.4
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,7.7
Asthma and the Environment,East New York,6.6
Asthma and the Environment,Sunset Park,5.4
Asthma and the Environment,Borough Park,2.7
Asthma and the Environment,East Flatbush - Flatbush,3.8
Asthma and the Environment,Canarsie - Flatlands,NA
Asthma and the Environment,Bensonhurst - Bay Ridge,3.5
Asthma and the Environment,Coney Island - Sheepshead Bay,3.5
Asthma and the Environment,Williamsburg - Bushwick,5.8
Asthma and the Environment,Washington Heights,4.9
Asthma and the Environment,Central Harlem - Morningside Heights,10.7
Asthma and the Environment,East Harlem,7.6
Asthma and the Environment,Upper West Side,9.8
Asthma and the Environment,Upper East Side,8.4
Asthma and the Environment,Chelsea - Clinton,4.3
Asthma and the Environment,Gramercy Park - Murray Hill,8.4
Asthma and the Environment,Greenwich Village - SoHo,4.3
Asthma and the Environment,Union Square - Lower East Side,6.8
Asthma and the Environment,Lower Manhattan,6.8
Asthma and the Environment,Long Island City - Astoria,3.4
Asthma and the Environment,West Queens,2.3
Asthma and the Environment,Flushing - Clearview,4.6
Asthma and the Environment,Bayside - Little Neck,2.9
Asthma and the Environment,Ridgewood - Forest Hills,5.5
Asthma and the Environment,Fresh Meadows,2.9
Asthma and the Environment,Southwest Queens,1.7
Asthma and the Environment,Jamaica,5.2
Asthma and the Environment,Southeast Queens,4.4
Asthma and the Environment,Rockaways,7.5
Asthma and the Environment,Port Richmond,5.4
Asthma and the Environment,Stapleton - St. George,5.4
Asthma and the Environment,Willowbrook,2.9
Asthma and the Environment,South Beach - Tottenville,2.9
Asthma and the Environment,Kingsbridge - Riverdale,3.5
Asthma and the Environment,Northeast Bronx,2.3
Asthma and the Environment,Fordham - Bronx Pk,2.1
Asthma and the Environment,Pelham - Throgs Neck,6.3
Asthma and the Environment,Crotona -Tremont,7.4
Asthma and the Environment,High Bridge - Morrisania,7.4
Asthma and the Environment,Hunts Point - Mott Haven,7.4
Asthma and the Environment,Greenpoint,7.9
Asthma and the Environment,Downtown - Heights - Slope,4.3
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,5
Asthma and the Environment,East New York,3.1
Asthma and the Environment,Sunset Park,NA
Asthma and the Environment,Borough Park,2
Asthma and the Environment,East Flatbush - Flatbush,3.9
Asthma and the Environment,Canarsie - Flatlands,2.5
Asthma and the Environment,Bensonhurst - Bay Ridge,4.5
Asthma and the Environment,Coney Island - Sheepshead Bay,4.5
Asthma and the Environment,Williamsburg - Bushwick,3.6
Asthma and the Environment,Washington Heights,3.8
Asthma and the Environment,Central Harlem - Morningside Heights,6.5
Asthma and the Environment,East Harlem,5.8
Asthma and the Environment,Upper West Side,3.3
Asthma and the Environment,Upper East Side,3.1
Asthma and the Environment,Chelsea - Clinton,4.2
Asthma and the Environment,Gramercy Park - Murray Hill,3.1
Asthma and the Environment,Greenwich Village - SoHo,4.2
Asthma and the Environment,Union Square - Lower East Side,6.4
Asthma and the Environment,Lower Manhattan,6.4
Asthma and the Environment,Long Island City - Astoria,6.1
Asthma and the Environment,West Queens,2.9
Asthma and the Environment,Flushing - Clearview,2.5
Asthma and the Environment,Bayside - Little Neck,3
Asthma and the Environment,Ridgewood - Forest Hills,4.3
Asthma and the Environment,Fresh Meadows,3
Asthma and the Environment,Southwest Queens,6.9
Asthma and the Environment,Jamaica,5.1
Asthma and the Environment,Southeast Queens,3.5
Asthma and the Environment,Rockaways,1.9
Asthma and the Environment,Port Richmond,6.8
Asthma and the Environment,Stapleton - St. George,6.8
Asthma and the Environment,Willowbrook,4.3
Asthma and the Environment,South Beach - Tottenville,4.3
Asthma and the Environment,Kingsbridge - Riverdale,4.7
Asthma and the Environment,Northeast Bronx,4.3
Asthma and the Environment,Fordham - Bronx Pk,12
Asthma and the Environment,Pelham - Throgs Neck,6.7
Asthma and the Environment,Crotona -Tremont,9
Asthma and the Environment,High Bridge - Morrisania,9
Asthma and the Environment,Hunts Point - Mott Haven,9
Asthma and the Environment,Greenpoint,5.3
Asthma and the Environment,Downtown - Heights - Slope,3.5
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,3.1
Asthma and the Environment,East New York,4.1
Asthma and the Environment,Sunset Park,NA
Asthma and the Environment,Borough Park,3.5
Asthma and the Environment,East Flatbush - Flatbush,3.9
Asthma and the Environment,Canarsie - Flatlands,3
Asthma and the Environment,Bensonhurst - Bay Ridge,NA
Asthma and the Environment,Coney Island - Sheepshead Bay,4.6
Asthma and the Environment,Williamsburg - Bushwick,3.3
Asthma and the Environment,Washington Heights,5.7
Asthma and the Environment,Central Harlem - Morningside Heights,5.9
Asthma and the Environment,East Harlem,12.6
Asthma and the Environment,Upper West Side,6
Asthma and the Environment,Upper East Side,4.2
Asthma and the Environment,Chelsea - Clinton,7.4
Asthma and the Environment,Gramercy Park - Murray Hill,4.2
