title,indicator_name,neighborhood,% reported good or excellent
Climate and Health,Homes near structures rated good or excellent,Kingsbridge - Riverdale,73.6
Climate and Health,Homes near structures rated good or excellent,Northeast Bronx,78.6
Climate and Health,Homes near structures rated good or excellent,Fordham - Bronx Pk,57.7
Climate and Health,Homes near structures rated good or excellent,Pelham - Throgs Neck,71.4
Climate and Health,Homes near structures rated good or excellent,Crotona -Tremont,39.1
Climate and Health,Homes near structures rated good or excellent,High Bridge - Morrisania,36.9
Climate and Health,Homes near structures rated good or excellent,Hunts Point - Mott Haven,44.2
Climate and Health,Homes near structures rated good or excellent,Greenpoint,86.7
Climate and Health,Homes near structures rated good or excellent,Downtown - Heights - Slope,79.6
Climate and Health,Homes near structures rated good or excellent,Bedford Stuyvesant - Crown Heights,59.1
Climate and Health,Homes near structures rated good or excellent,East New York,57
Climate and Health,Homes near structures rated good or excellent,Sunset Park,74.3
Climate and Health,Homes near structures rated good or excellent,Borough Park,78.6
Climate and Health,Homes near structures rated good or excellent,East Flatbush - Flatbush,66.2
Climate and Health,Homes near structures rated good or excellent,Canarsie - Flatlands,78.1
Climate and Health,Homes near structures rated good or excellent,Bensonhurst - Bay Ridge,90.5
Climate and Health,Homes near structures rated good or excellent,Coney Island - Sheepshead Bay,84.9
Climate and Health,Homes near structures rated good or excellent,Williamsburg - Bushwick,55
Climate and Health,Homes near structures rated good or excellent,Washington Heights,58
Climate and Health,Homes near structures rated good or excellent,Central Harlem - Morningside Heights,53.4
Climate and Health,Homes near structures rated good or excellent,East Harlem,61.1
Climate and Health,Homes near structures rated good or excellent,Upper West Side,88.3
Climate and Health,Homes near structures rated good or excellent,Upper East Side,95
Climate and Health,Homes near structures rated good or excellent,Chelsea - Clinton,84
Climate and Health,Homes near structures rated good or excellent,Gramercy Park - Murray Hill,91.4
Climate and Health,Homes near structures rated good or excellent,Greenwich Village - SoHo,86.3
Climate and Health,Homes near structures rated good or excellent,Union Square - Lower East Side,64.5
Climate and Health,Homes near structures rated good or excellent,Lower Manhattan,83.9
Climate and Health,Homes near structures rated good or excellent,Long Island City - Astoria,86.1
Climate and Health,Homes near structures rated good or excellent,West Queens,78.1
Climate and Health,Homes near structures rated good or excellent,Flushing - Clearview,87.9
Climate and Health,Homes near structures rated good or excellent,Bayside - Little Neck,92.7
Climate and Health,Homes near structures rated good or excellent,Ridgewood - Forest Hills,89.3
Climate and Health,Homes near structures rated good or excellent,Fresh Meadows,86.9
Climate and Health,Homes near structures rated good or excellent,Southwest Queens,82.6
Climate and Health,Homes near structures rated good or excellent,Jamaica,77.2
Climate and Health,Homes near structures rated good or excellent,Southeast Queens,88.1
Climate and Health,Homes near structures rated good or excellent,Rockaways,77.5
Climate and Health,Homes near structures rated good or excellent,Port Richmond,79.5
Climate and Health,Homes near structures rated good or excellent,Stapleton - St. George,85.2
Climate and Health,Homes near structures rated good or excellent,Willowbrook,90.7
Climate and Health,Homes near structures rated good or excellent,South Beach - Tottenville,96.9
Climate and Health,Homes near structures rated good or excellent,Kingsbridge - Riverdale,80.6
Climate and Health,Homes near structures rated good or excellent,Northeast Bronx,77.9
Climate and Health,Homes near structures rated good or excellent,Fordham - Bronx Pk,64.4
Climate and Health,Homes near structures rated good or excellent,Pelham - Throgs Neck,78.1
Climate and Health,Homes near structures rated good or excellent,Crotona -Tremont,52.5
Climate and Health,Homes near structures rated good or excellent,High Bridge - Morrisania,45.4
Climate and Health,Homes near structures rated good or excellent,Hunts Point - Mott Haven,52.5
Climate and Health,Homes near structures rated good or excellent,Greenpoint,73.8
Climate and Health,Homes near structures rated good or excellent,Downtown - Heights - Slope,84
Climate and Health,Homes near structures rated good or excellent,Bedford Stuyvesant - Crown Heights,58
Climate and Health,Homes near structures rated good or excellent,East New York,67.6
Climate and Health,Homes near structures rated good or excellent,Sunset Park,82.5
Climate and Health,Homes near structures rated good or excellent,Borough Park,80.4
Climate and Health,Homes near structures rated good or excellent,East Flatbush - Flatbush,61.6
Climate and Health,Homes near structures rated good or excellent,Canarsie - Flatlands,81
Climate and Health,Homes near structures rated good or excellent,Bensonhurst - Bay Ridge,89.2
