BORO,VIOLATION CODE,VIOLATION DESCRIPTION,Latitude,Longitude
Brooklyn,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.656636664405,-73.930559688328
Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.693307869085,-73.853069565193
Staten Island,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.637171578333,-74.128693798627
Manhattan,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.710529012969,-74.009378280217
Brooklyn,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.663518587577,-73.98437458362
Queens,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.762684950086,-73.912460727824
Manhattan,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.757357634315,-73.993416132521
Queens,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.683952391992,-73.847883782115
Manhattan,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.731609197835,-74.001634503876
Queens,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.749849082272,-73.883185631826
Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.707656475207,-73.897503414928
Manhattan,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.727496617699,-73.98536975135
Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.72853113061,-73.953485545499
Brooklyn,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.656137442351,-73.959976705563
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.717138793492,-73.998795131761
Queens,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.702261229816,-73.816778297769
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.863054250377,-73.927429363377
Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.697479457454,-73.936171699303
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.715206451998,-73.997337823706
Bronx,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.886682656565,-73.907056326877
Bronx,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.857251130718,-73.790415470169
Queens,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.747460822865,-73.885597066237
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.846076299266,-73.938493594623
Manhattan,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.721412306078,-74.004718769767
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.73308022042,-73.993519571702
Queens,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.74954495161,-73.898153330275
Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.620758128428,-73.988512708796
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.730127035689,-74.000360809576
Manhattan,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.729165270247,-73.98412821661
Brooklyn,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.616150009301,-73.993199591475
Bronx,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.905410207281,-73.897743526346
Brooklyn,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.668230989037,-73.931185609295
Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.745415920819,-73.903453966063
Staten Island,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.628780412491,-74.088551814532
Staten Island,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.582297419955,-74.169052592685
Manhattan,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.79196636053,-73.938363204935
Staten Island,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.612538973812,-74.129481726979
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.709014261088,-74.002272377595
Staten Island,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.634351997672,-74.085367067411
Bronx,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.885912198297,-73.861499267772
Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.619680849836,-74.032613437324
Queens,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.712448703732,-73.900457477359
Brooklyn,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.667750921426,-73.895286795958
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.759319725048,-73.988257700502
Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.744568784165,-73.953474305211
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.727049499467,-73.987747474794
Brooklyn,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.71994884089,-73.962622249755
Manhattan,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.769530136088,-73.954745655155
Manhattan,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.754895354298,-73.990185925753
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.775162604004,-73.955330331657
Brooklyn,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.716792178083,-73.962075706378
Brooklyn,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.675569922481,-73.978340361895
Bronx,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.816473323572,-73.919221501375
Manhattan,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.735654976226,-73.998065899608
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.718502330547,-73.988084546292
Manhattan,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.793538197266,-73.970750090651
Bronx,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.855907781955,-73.855597322122
Manhattan,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.751909103574,-73.990767461497
Bronx,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.812342371769,-73.904750958943
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.72940992601,-73.987090372775
Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.683687030237,-73.922880382026
Bronx,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.863796685179,-73.833660066902
Manhattan,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.72415703468,-73.99442599334
Brooklyn,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.699140161495,-73.915180776037
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.755724330598,-73.990900481699
Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.710805935246,-73.792724520121
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.747193797507,-73.974101645909
Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.748889860877,-73.869259728057
Manhattan,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.717574938589,-73.991995149133
Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.747441631141,-73.885618753563
Queens,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.710094536265,-73.848559724821
Staten Island,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.612462214142,-74.131804684069
Manhattan,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.714179932664,-73.998755505932
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.76437831887,-73.988303734675
Manhattan,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.706263297358,-74.012908734166
Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.640430478604,-74.004431969193
Queens,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.749089881056,-73.88702347329
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.783973899731,-73.950203963358
