BORO,VIOLATION CODE,VIOLATION DESCRIPTION,Latitude,Longitude
Brooklyn,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.638679363819,-74.03555931133
Bronx,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.879176582016,-73.904615064772
Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.59866096068,-73.957987549022
Queens,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.65180299703,-73.838039573468
Queens,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.70741146105,-73.817424144392
Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.677259171085,-73.986163148418
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.739025479377,-73.99563361881
Brooklyn,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.676240555956,-73.983845236743
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.758018642617,-73.987622638957
Staten Island,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.588334461467,-74.090485400296
Manhattan,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.747402494668,-74.004359714281
Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.771741095945,-73.826583508223
Bronx,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.846811944799,-73.920670056642
Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.689037351055,-73.795929560538
Brooklyn,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.677293916591,-73.979846784481
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.772720220297,-73.949775550806
Bronx,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.816167825403,-73.918047720088
Bronx,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.807291740699,-73.918643883081
Queens,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.679545070629,-73.844385864431
Bronx,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.867590420776,-73.883086472857
Staten Island,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.62473983066,-74.136339204198
Brooklyn,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.640121103332,-73.96687208449
Queens,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.769110876384,-73.92469810655
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.782528748221,-73.953379070553
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.749163623682,-73.970332944448
Manhattan,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.715176257587,-73.9972548574
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.747407223937,-73.986090778063
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.779327233146,-73.95066963055
Manhattan,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.765509072025,-73.987480450776
Brooklyn,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.651004219714,-73.945496121494
Brooklyn,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.640875116137,-74.004853579218
Bronx,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.840494434182,-73.918003180509
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.757774645641,-73.963293985156
Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.765285741103,-73.888833389841
Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.67774581604,-73.998110848538
Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.595119257856,-73.750390511281
Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.764645686377,-73.810819218288
Queens,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.739656758407,-73.789982081737
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.755652968851,-73.990925757871
Bronx,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.821331472276,-73.927370260806
Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.702459568244,-73.9931691137
Manhattan,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.735630046012,-74.007476594239
Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.714058601782,-73.955068433433
Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.759791642744,-73.829242612573
Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.742440120763,-73.721702385884
Brooklyn,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.664468096569,-73.93151751861
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.783557156555,-73.978008996048
Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.759644384289,-73.80407249176
Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.677620499282,-73.959073267697
Brooklyn,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.631167205179,-73.976243631587
Manhattan,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.728887651325,-73.981476382063
Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.717686427092,-73.856994604548
Queens,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.760556514979,-73.731286139142
Brooklyn,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.634674441659,-74.02647421978
Bronx,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.840137243121,-73.921393635834
Queens,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.747792498699,-73.882445785614
Brooklyn,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.710985387646,-73.950648262141
Brooklyn,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.665810412871,-73.953673636401
Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.648312826068,-73.788281497594
Manhattan,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.743161334306,-73.988404911527
Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.682749476185,-73.995698611726
Queens,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.726550672466,-73.728606004603
Staten Island,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.63174000513,-74.07610102381
Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.646057026338,-73.949074882744
Manhattan,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.870708838059,-73.914762219995
Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.753377364692,-73.822170321212
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.743775784518,-73.985138805947
Brooklyn,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.719656265957,-73.957918199134
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.756853559455,-73.96709535013
Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.712157743495,-73.788965278243
Bronx,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.833660420754,-73.856787734981
Manhattan,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.719941196678,-73.998401858803
Manhattan,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.756992594766,-73.993654399478
Manhattan,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.851603320565,-73.932068736195
Brooklyn,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.602856408313,-73.986416306156
Manhattan,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.756755696983,-73.984670267738
Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.707851460078,-73.897622141262
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.77621256407,-73.980022536506
Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.774767263801,-73.908794542245
